OObjectId,ObjectId,CgObjId,Text,CatText
50000003,51085509,50762938,Biochemie,Minor 30
50000003,51085509,50762939,Biologie,Minor 30
50000003,51085509,50762940,Chemie,Minor 30
50000003,51085509,50762941,Erdsystemwissenschaften,Minor 30
50000003,51085509,50762944,Geographie,Minor 30
50000003,51085509,50762945,Mathematik,Minor 30
50000003,51085509,50762946,Physik,Minor 30
50000003,51085509,50762948,Neuroinformatik,Minor 30
50000003,51085509,50762949,Bioinformatik,Minor 30
50000003,51085509,50762951,Applied Probability and Statistics,Minor 30
50000003,51085509,50762952,Astronomie und Astrobiologie,Minor 30
50000003,51085509,50762953,Kristallographie,Minor 30
50000003,51085509,50767888,Umweltwissenschaften,Minor 30
50000003,51085509,50811643,Ethik,Minor 30
50000003,51085509,50811644,Kulturelle Kontexte,Minor 30
50000003,51085509,50811645,"Geschichte, Gesellschaft, Politik",Minor 30
50000003,51085509,50811646,Digital Humanities und Text Mining,Minor 30
50000003,51085509,50931095,Ethik und Gesellschaft,Minor 30
50000003,51085509,51046583,Rechtswissenschaft,Minor 30
50000003,51085509,51087263,Volkswirtschaftslehre,Major 150
50000003,51085509,51087264,Betriebswirtschaftslehre,Major 150
50000003,51085509,51087265,Banking and Finance,Major 150
50000003,51085509,51087266,Volkswirtschaftslehre,Minor 30
50000003,51085509,51087267,Betriebswirtschaftslehre,Minor 30
50000003,51085509,51087268,Banking and Finance,Minor 30
50000003,51085509,51087269,Allgemeine Wirtschaftswissenschaften,Minor 30
50000003,51085509,51087270,Wirtschaftsinformatik für OEC,Minor 30
50000003,51085509,51087271,Mensch und Computer für OEC,Minor 30
50000003,51085509,51087272,Informatik,Minor 30
50000003,51085509,51101292,Computational Science,Minor 30
50000003,51085509,51156794,Biodiversität,Minor 30
50000003,51085509,51211941,Financial Mathematics,Minor 30
